Year,DoY,ACN 3,ACN 10,ACN 20,AHN 3,AHN 10,AHN 20,ECN 3,ECN 10,ECN 20
2008,325,786.2029933,983.1415371,1058.124963,674.7991388,1299.120092,1021.246217,583.4108166,771.0668608,1291.374378
2008,326,728.6149008,940.583687,994.2797159,638.4376113,1220.188003,893.4788452,552.0877602,714.1680765,1175.72306
2008,327,695.934913,893.3050931,964.4433016,629.0649516,1183.632493,855.7650994,538.1742546,689.3056812,1121.167693
2008,328,701.004679,884.5963007,954.4252973,618.0064285,1169.154979,848.8240996,526.1022957,684.9993354,1119.781599
2008,329,671.202625,846.581491,905.8894083,598.9224989,1109.64794,771.3764029,520.4232674,659.6606915,1057.80624
2008,330,667.608373,844.4241719,913.6750811,594.4162627,1113.043268,777.7362673,519.0911516,661.3357658,1065.908387
2008,331,657.4933813,831.0237724,907.6501182,588.8049764,1089.858148,763.4032034,517.0976072,658.6031241,1058.717944
2008,332,691.7624329,833.5082944,896.7249878,576.2850524,1086.552885,760.2347764,519.5671413,667.7825004,1062.424972
2008,333,669.2163335,807.7681717,857.5720947,568.86691,1042.189003,697.6623506,509.0424752,643.6936663,1007.332889
2008,334,689.4295763,822.5990217,860.31317,566.0018943,1045.819655,672.3666048,496.1507341,632.5589777,989.3708621
2008,335,706.9096532,828.8090688,860.8939421,575.7589801,1072.978662,674.8651392,489.2420802,634.2644128,968.436567
2008,336,702.4548622,845.9650618,873.8843098,581.4196376,1059.180719,656.2826027,497.6880684,620.0732916,961.0786925
2008,337,696.8662392,911.2356718,944.267019,592.7553374,1117.559198,723.9808948,493.9161006,625.8018587,1015.530462
2008,338,753.1675365,864.0071981,882.9290117,559.9105053,1038.297378,671.5502674,505.7511324,633.0783215,979.2682952
2008,339,770.7143698,845.726938,860.2657743,583.8291938,1016.496931,622.8379186,545.0151736,657.3413669,963.0377453
2008,340,758.5974562,852.6971353,859.1880193,576.5370579,992.6310004,589.4046427,503.2315238,606.7585498,927.2589653
2008,341,727.5743394,844.1715305,873.8804059,630.0991882,1027.708606,604.560225,508.793566,613.3991781,919.8827127
2008,342,733.638329,906.1055227,935.6136762,738.5045178,1109.439657,679.8562295,551.5428022,675.8845624,1005.398672
2008,343,749.927483,913.0788366,923.9952823,680.5541383,1094.868142,689.4334635,530.1798562,679.0349441,1027.967928
2008,344,777.2011058,893.9979781,874.937485,628.8848522,1037.416838,598.2172004,531.0548923,661.6474193,968.16204
2008,345,751.0184466,866.0838676,853.9521086,631.4234675,1004.32906,556.0918073,518.367476,636.4711569,938.0117759
2008,346,-9999,-9999,865.4600593,-9999,-9999,585.8174768,-9999,-9999,935.7901538
2008,347,-9999,-9999,848.1685997,-9999,-9999,572.5621912,-9999,-9999,923.8756013
2008,348,-9999,-9999,834.1798379,-9999,-9999,573.6493606,-9999,-9999,914.9341766
2008,349,695.4687182,838.6430154,800.617602,549.8337245,933.1161284,496.79391,511.2654202,624.8387381,888.9464601
2008,350,693.4079261,748.1049533,698.0249332,540.6297526,831.7341769,349.6264838,541.6210863,607.5400881,854.5505176
2008,351,698.9766294,751.5485427,722.9253363,558.5664204,870.195969,370.1819702,525.0327238,602.598456,851.4991123
2008,352,672.4525364,742.2992461,729.5067914,549.4348984,882.3615437,398.7459134,509.6189271,583.4047182,837.1709587
